nPolygons: 52
4 {5000, 5000, -1500} {-5000, 5000, -1500} {-5000, -5000, -1500} {5000, -5000, -1500} 
4 {5000, 5000, 1500} {-5000, 5000, 1500} {-5000, -5000, 1500} {5000, -5000, 1500} 
8 {3779.5771825, 1733.27795817, -587.452541894} {3908.38109428, 1590.02779672, -620.221801738} {4072.71385014, 1529.47349126, -533.54535565} {4176.31152689, 1587.08696135, -378.197081617} {4158.48804723, 1729.1190063, -245.177869933} {4029.68410948, 1872.36917448, -212.408626781} {3865.35139467, 1932.92345551, -299.085060986} {3761.75372216, 1875.31000935, -454.433305991} 
8 {-2403.13138297, -3589.39970043, 804.391484825} {-2363.37621221, -3638.54088348, 745.656137787} {-2281.51136439, -3661.04211891, 730.260932432} {-2205.49216628, -3643.72248303, 767.224176487} {-2179.8496182, -3596.72758305, 834.893306385} {-2219.60480454, -3547.58639624, 893.628655643} {-2301.46963235, -3525.08517062, 909.023851449} {-2377.48882025, -3542.40479769, 872.060621071} 
6 {4173.86002499, 2705.7561041, -765.059623364} {3682.27682866, 2944.4431248, -727.835951952} {3257.41608228, 3011.1078041, -1067.04139539} {3165.90452438, 2890.15761288, -1500} {4371.68571609, 2339.02086311, -1500} {4444.20293083, 2434.86630003, -1156.9074163} 
8 {-932.809911598, 2141.28895608, 328.805412661} {-965.212369273, 2230.65359119, 350.156917729} {-957.995330879, 2289.99479381, 427.087932738} {-915.386436631, 2284.55127975, 514.533306114} {-862.345394004, 2217.51179138, 561.268740638} {-829.942938592, 2128.14714811, 539.91722222} {-837.159978885, 2068.80596452, 462.986222686} {-879.768862788, 2074.24946868, 375.5408617} 
8 {-1374.07625414, -65.0038355709, 543.846832152} {-1359.33746447, -30.1685200841, 470.342087038} {-1406.13371467, 4.2829888398, 411.546815956} {-1487.05238302, 18.1694616762, 401.902494077} {-1554.69242642, 3.35638970824, 447.058640384} {-1569.43120236, -31.478930018, 520.563390927} {-1522.63496367, -65.9304305469, 579.358647706} {-1441.71630933, -79.8169021208, 589.002970214} 
8 {-3481.91505598, 2794.99778731, -114.554084814} {-3391.95187647, 2838.53765377, -96.0507162747} {-3354.83001832, 2898.52423895, -22.8725322009} {-3392.29495722, 2939.81820734, 62.1136650644} {-3482.40025656, 2938.23011449, 109.124126248} {-3572.36343954, 2894.69023891, 90.6207454128} {-3609.4852831, 2834.70366791, 17.4425754279} {-3572.02035885, 2793.40970181, -67.5436102264} 
8 {-2829.16613122, -2255.14073778, -381.648683419} {-2852.92390798, -2291.15486075, -258.590167375} {-2805.09028664, -2257.92235745, -141.918000302} {-2713.68555928, -2174.91038115, -99.9771706536} {-2632.25336006, -2090.74620781, -157.336039432} {-2608.49559304, -2054.7320919, -280.394576528} {-2656.32920801, -2087.96459296, -397.066707831} {-2747.73391529, -2170.97654942, -439.007543116} 
7 {-169.43532971, 2392.97975864, -1500} {-20.7283914957, 2306.05408965, -1409.68738083} {16.6702371834, 2080.78194527, -1306.51623602} {-122.034058891, 1874.19403629, -1276.96894646} {-355.590167392, 1807.30678476, -1338.35391791} {-547.184127334, 1919.30182306, -1454.71267668} {-563.600368787, 2018.1858061, -1500} 
8 {334.944315831, 1103.99171648, -484.745910875} {232.504657614, 968.850398465, -499.046238707} {71.2466599541, 935.04249421, -456.449928511} {-54.3669105399, 1022.37223825, -381.909319157} {-70.7533613874, 1179.68305003, -319.089277579} {31.6863137819, 1314.82437575, -304.788952714} {192.944282722, 1348.63225542, -347.385262077} {318.557854095, 1261.30254116, -421.925860896} 
8 {-413.495507661, -4957.80221405, 90.587089924} {-357.655611008, -4806.37897972, 178.559212418} {-330.010076014, -4631.05004939, 130.792294598} {-346.753281782, -4534.52075197, -24.7324318086} {-398.077292536, -4573.33663565, -196.910724617} {-453.917193173, -4724.75989974, -284.882836139} {-481.562717313, -4900.08878244, -237.115917779} {-464.81952044, -4996.61807864, -81.5912284448} 
8 {-1357.78072079, 3370.48315572, 167.387608749} {-1275.56098247, 3351.28366181, 113.00602259} {-1250.85631535, 3283.49795992, 43.1429997869} {-1298.13839074, 3206.83399943, -1.27663880094} {-1389.71000994, 3166.20047359, 5.76751559571} {-1471.92974995, 3185.39997894, 60.1491124058} {-1496.63440515, 3253.18566746, 130.012118192} {-1449.3523454, 3329.84961756, 174.431755002} 
8 {4176.63107526, 675.234217092, 624.906180813} {4573.12263793, 880.593473042, 542.283357393} {4785.89295351, 1030.02363325, 169.987834982} {4690.30406894, 1035.99053335, -273.89464238} {4342.35059532, 894.998822065, -529.343806185} {3945.85901173, 689.639545376, -446.720895598} {3733.08876572, 540.209430811, -74.4254680149} {3828.6776063, 534.242518977, 369.456926064} 
8 {4035.73251202, 1423.7167284, 128.357639469} {4107.48405807, 1357.72637465, 120.440132838} {4163.28549795, 1308.30314004, 183.75871035} {4170.4490918, 1304.39849723, 281.222209867} {4124.77851425, 1348.2997236, 355.737850832} {4053.02696023, 1414.29008434, 363.655345751} {3997.225537, 1463.71330397, 300.336778468} {3990.06193714, 1467.61795275, 202.873295874} 
8 {4150.51790224, -2393.56246544, -117.599419736} {4208.30077617, -2337.32147633, -73.7591607607} {4220.22814211, -2246.38505839, -70.2685437239} {4179.3131145, -2174.02254438, -109.172320859} {4109.52315033, -2162.62290537, -167.68119705} {4051.74027542, -2218.86391044, -211.521455721} {4039.8129177, -2309.80030598, -215.012067531} {4080.72793188, -2382.162813, -176.108301995} 
8 {-68.4190161454, 1110.40947299, -1329.00970867} {-91.462705238, 1143.89403159, -1246.30087121} {-169.002513083, 1176.15371117, -1208.35523596} {-255.616664471, 1188.29122402, -1237.40085061} {-300.567780301, 1173.19658364, -1316.42318844} {-277.524077108, 1139.71201972, -1399.13203119} {-199.984285699, 1107.45234946, -1437.07765095} {-113.370147294, 1095.31483524, -1408.03205019} 
8 {-4094.30401048, -3135.85391158, 949.570623445} {-4144.72608836, -3300.53070533, 1072.28777319} {-4323.589263, -3373.96339646, 1157.93787844} {-4526.11788132, -3313.13611353, 1156.34826511} {-4633.6734562, -3153.68063064, 1068.45009728} {-4583.25134946, -2989.00383063, 945.732937538} {-4404.38820872, -2915.57116608, 860.082857191} {-4201.85961608, -2976.3984244, 861.672458751} 
